time/s	mode	Capacity/mA.h	(Q-Qo)/mA.h	Ewe/V	cycle number	
6.340000069357789E+003	1	6.670752527417253E+000	-6.670752486408353E+000	2.4518478E+000	0.000000000000000E+000
6.370000068994574E+003	1	6.702367570108351E+000	-6.702367528658893E+000	2.4519050E+000	0.000000000000000E+000
6.400000068631358E+003	1	6.733982456876719E+000	-6.733982414985339E+000	2.4520578E+000	0.000000000000000E+000
6.430000068268142E+003	1	6.765597385822817E+000	-6.765597343488653E+000	2.4522870E+000	0.000000000000000E+000
6.460000067904926E+003	1	6.797212372342458E+000	-6.797212329568041E+000	2.4523442E+000	0.000000000000000E+000
6.490000067541710E+003	1	6.828827389994413E+000	-6.828827346779505E+000	2.4524207E+000	0.000000000000000E+000
6.520000067178495E+003	1	6.860442338073311E+000	-6.860442294419196E+000	2.4523823E+000	0.000000000000000E+000
6.550000066815279E+003	1	6.892057379492208E+000	-6.892057335397853E+000	2.4523633E+000	0.000000000000000E+000
6.580000066452063E+003	1	6.923672533121855E+000	-6.923672488586121E+000	2.4522870E+000	0.000000000000000E+000
6.610000066088847E+003	1	6.955287627486313E+000	-6.955287582507530E+000	2.4524016E+000	0.000000000000000E+000
6.640000065725631E+003	1	6.986902647300499E+000	-6.986902601880153E+000	2.4526308E+000	0.000000000000000E+000
6.670000065362416E+003	1	7.018517811737913E+000	-7.018517765873009E+000	2.4525161E+000	0.000000000000000E+000
6.700000064999200E+003	1	7.050132978334961E+000	-7.050132932025512E+000	2.4526114E+000	0.000000000000000E+000
6.730000064635984E+003	1	7.081748154159722E+000	-7.081748107410828E+000	2.4525924E+000	0.000000000000000E+000
6.760000064272768E+003	1	7.113363292469201E+000	-7.113363245277921E+000	2.4523060E+000	0.000000000000000E+000
6.790000063909552E+003	1	7.144978490552814E+000	-7.144978442916234E+000	2.4524207E+000	0.000000000000000E+000
6.820000063546337E+003	1	7.176593727022931E+000	-7.176593678944694E+000	2.4522488E+000	0.000000000000000E+000
6.850000063183121E+003	1	7.208208996786414E+000	-7.208208948261420E+000	2.4524207E+000	0.000000000000000E+000
6.880000062819905E+003	1	7.239824311531629E+000	-7.239824262560897E+000	2.4523060E+000	0.000000000000000E+000
6.910000062456689E+003	1	7.271439563359001E+000	-7.271439513944838E+000	2.4521534E+000	0.000000000000000E+000
6.940000062093473E+003	1	7.303054837328625E+000	-7.303054787469877E+000	2.4521725E+000	0.000000000000000E+000
6.970000061730258E+003	1	7.334670037763031E+000	-7.334669987460415E+000	2.4522107E+000	0.000000000000000E+000
7.000000061367042E+003	1	7.366285137085959E+000	-7.366285086341831E+000	2.4522107E+000	0.000000000000000E+000
7.030000061003826E+003	1	7.397900263776969E+000	-7.397900212586827E+000	2.4522107E+000	0.000000000000000E+000
